"","logFC","logCPM","LR","PValue","FDR"
"AT3G52740",0.6394332,3.787472,1.173388,0.2787062,0.7468428
"AT3G56510",0.4529239,5.101618,1.172452,0.2788979,0.7471979
"AT5G58640",-0.4912251,5.833253,1.172042,0.2789822,0.7472652
"AT3G01560",-0.4135083,6.517596,1.170317,0.2793361,0.7480013
"AT2G17190",-0.464944,6.497056,1.169945,0.2794126,0.7480013
"AT3G04930",-0.4473093,5.47085,1.169838,0.2794346,0.7480013
"AT4G26140",-0.7692561,3.77491,1.169455,0.2795132,0.7480532
"AT1G07280",0.4167386,7.249981,1.168985,0.2796098,0.7481532
"AT5G18540",0.7294706,4.293045,1.16716,0.2799856,0.749
"AT1G03475",0.4150026,7.737208,1.166402,0.2801417,0.749259
"AT1G08800",-0.4681401,5.337237,1.165454,0.2803373,0.7496233
"AT1G76700",-0.5044769,4.474753,1.163802,0.2806785,0.750321
"AT1G08450",-0.4423333,7.31097,1.163616,0.280717,0.750321
"AT3G56030",-0.6256734,4.246028,1.161797,0.2810933,0.7511236
"AT5G55850",-0.4104937,7.689897,1.161589,0.2811362,0.7511236
"AT2G30580",0.6740338,3.710365,1.160946,0.2812694,0.7513205
"AT1G21370",-0.5980683,4.270233,1.1601,0.2814449,0.7516304
"AT3G15840",0.4086938,8.738533,1.158974,0.2816784,0.752095
"AT1G18080",-0.4540367,6.69718,1.158194,0.2818404,0.7523684
"AT4G31770",-0.7497165,3.390109,1.157341,0.2820177,0.7526828
"AT4G01860",-0.7330699,3.439942,1.156796,0.2821311,0.7528189
"AT2G09589",1.124955,3.746005,1.156404,0.2822125,0.7528189
"AT1G24170",0.617775,3.710518,1.156236,0.2822475,0.7528189
"AT1G22885",-0.7455525,3.640618,1.155453,0.2824106,0.7530091
"AT4G16060",0.7330392,3.480347,1.15507,0.2824903,0.7530091
"AT1G07750",0.7140199,3.435895,1.155035,0.2824976,0.7530091
"AT1G71810",0.5022186,4.351781,1.153911,0.282732,0.7534748
"AT4G36900",-0.4819813,4.764761,1.153528,0.2828118,0.7535264
"AT3G07040",-0.7413551,3.400855,1.153246,0.2828707,0.7535264
"AT4G06599",-0.5826719,4.354163,1.15287,0.2829492,0.7535617
"AT1G48520",0.5008534,4.543419,1.152338,0.2830604,0.7535617
"AT2G31800",-0.4123589,6.203599,1.15227,0.2830744,0.7535617
"AT3G62360",-0.4342791,5.364543,1.152003,0.2831303,0.7535617
"AT2G30720",-0.5179123,4.659646,1.151754,0.2831822,0.7535617
"AT1G28060",0.4732276,6.575084,1.150977,0.2833446,0.7538351
"AT1G56230",0.8286352,3.364621,1.150035,0.2835418,0.7542009
"AT1G17720",-0.4041278,5.749251,1.149589,0.2836351,0.7542708
"AT5G64250",0.5106985,5.051113,1.149111,0.2837354,0.7542708
"AT3G07350",-0.6723465,3.943373,1.149054,0.2837472,0.7542708
"AT4G31780",-0.42954,7.732725,1.148709,0.2838196,0.7543044
"AT4G25550",-0.4665648,5.919332,1.148424,0.2838793,0.7543045
"AT1G73885",0.5310343,7.193752,1.147412,0.2840916,0.7545893
"AT1G14980",-0.4119851,6.071155,1.147083,0.2841607,0.7545893
"AT3G63330",-0.5383019,4.17959,1.147059,0.2841657,0.7545893
"AT4G39690",-0.4437684,5.09424,1.146659,0.2842497,0.7546538
"AT1G14840",0.6585533,3.999827,1.146036,0.2843804,0.7547883
"AT1G15020",0.6577791,3.784641,1.145848,0.2844199,0.7547883
"AT2G42130",0.6220961,3.815268,1.145508,0.2844915,0.7548196
"AT1G49950",-0.5442374,4.430933,1.144346,0.2847359,0.7553095
"AT4G28140",-0.5251789,5.911464,1.143488,0.2849165,0.7553504
"AT5G25590",0.8459974,3.534742,1.143476,0.284919,0.7553504
"AT2G26910",0.4907306,5.275755,1.143014,0.2850164,0.7553504
"AT1G48900",-0.4117659,5.904446,1.142892,0.285042,0.7553504
"AT1G06040",0.4015826,8.343278,1.142673,0.2850882,0.7553504
"AT1G06200",0.4243294,5.479489,1.142569,0.2851101,0.7553504
"AT5G08160",-0.5589157,5.74215,1.142131,0.2852026,0.7554142
"AT3G08720",-0.6028655,4.18637,1.141815,0.2852691,0.7554142
"AT2G38130",0.6404833,3.968669,1.141506,0.2853344,0.7554142
"AT5G42960",-0.4258988,5.075896,1.141321,0.2853734,0.7554142
"AT3G20250",-0.4743442,4.840017,1.139976,0.2856575,0.7558772
"AT5G53170",0.4055895,5.744937,1.139926,0.285668,0.7558772
"AT5G55920",-0.4138651,6.389361,1.139227,0.2858157,0.7561098
"AT1G09900",0.9493709,3.092761,1.138825,0.2859008,0.7561764
"AT3G03920",-0.4313391,6.817203,1.137993,0.2860769,0.7564838
